lane,tx_mean,tx_std,rx_mean,rx_std,snr_db,blocks,symbols_per_block
0,0.0036132812965661287,2.2360124588012695,0.006517655681818724,2.3539981842041016,26.0,50,2048
1,-0.0063281250186264515,2.2320549488067627,-0.005642133764922619,2.3580570220947266,26.0,50,2048
2,-0.0034374999813735485,2.2388761043548584,-0.006790373474359512,2.3723182678222656,22.0,50,2048
3,-0.0010546875419095159,2.2346696853637695,-0.003732588840648532,2.3326780796051025,26.0,50,2048
